one,two,three,four,key
0.3875554258203766,0.10482377377594165,0.26137722699237476,0.9863808516123556,E
0.9225909901439486,0.2697603662619148,0.6089439713234016,0.13564981660257425,A
0.1529676377880208,0.6476282236385148,0.11470946702057516,0.204878198588203,C
0.7029206815642605,0.1890178082195123,0.005070899910743276,0.8794122255119226,B
0.10291684932589151,0.9288795864841795,0.5943235083179526,0.43548305505301477,A
0.5308314454233719,0.7710683977079497,0.29667630187832295,0.2178269603976717,D
0.4956797404881349,0.15785660287647973,0.3452326021706883,0.5327806752978994,B
0.13418869455555926,0.08789014869245981,0.7171648391788698,0.9607527870594748,E
0.8886710282857369,0.4259689469846246,0.8481342927529417,0.4341866512122333,H
0.7170437053404988,0.14655244581696925,0.3576122348207662,0.5263635871389933,A
0.7165426420662729,0.8733161036346907,0.42752106319409655,0.9182278274080702,B
0.13574981132097408,0.3047052350317955,0.9906106216942898,0.5867713096842692,H
0.12976968405453082,0.0336852989840325,0.7601433730111027,0.4279627790504923,G
0.056839840575686806,0.48618924354300386,0.16009117606860912,0.157012799394182,E
0.020472912305225743,0.3892415838287625,0.3779273977260009,0.649760472106805,B
0.9381600059457181,0.8656609816267047,0.05119699816384482,0.07524766532797955,A
0.15880018048604205,0.05546267024483442,0.6191950556119545,0.43603925638386243,G
0.08478063454361984,0.4918654026215604,0.7117022072689847,0.020172563359965423,H
0.7639551468481417,0.2679514397792332,0.0874570307501179,0.34148997995927644,A
0.9365309131077661,0.34688068993279175,0.8451324839637636,0.49043253683215027,G
0.5724321648926367,0.2468367245183375,0.21039168925291973,0.4243869722669741,F
0.4110764132321486,0.5010538054690518,0.6593507151349931,0.26388894989908274,E
0.8712132828188665,0.13027486641385544,0.701515837088023,0.3408568699077442,C
0.34785026918535544,0.7602411336815021,0.29861300139065317,0.09868966335130969,G
0.9070228553997045,0.735385936722201,0.08021617740772713,0.46993764439669994,H
0.822557682872359,0.37515435188719226,0.40979420487782847,0.36077149403980147,C
0.45220046887513043,0.5826664170830851,0.048092735261782926,0.5814625560799712,A
0.22436889621431955,0.9571173020701276,0.8308508545249607,0.7147229716577281,F
0.2613237987802268,0.3871695483560996,0.5585238427390602,0.11429200671077189,C
0.5962976278924345,0.9984663918351997,0.7251595028333493,0.6673311239182828,F
0.5950563011224859,0.26157753984451815,0.3048322011036019,0.6360675801511676,F
0.9603676637154247,0.32491582044111245,0.056944253150297386,0.6047273871233793,F
0.6484717414018933,0.19517614150986806,0.888183518568043,0.6609829773893559,A
0.1707748015304864,0.5114982453591166,0.8570547676292353,0.9266785499679399,C
0.9478289856222804,0.5646609488288871,0.3445817856308986,0.2724362475518506,H
0.5846835123838079,0.25061354962925153,0.06870127717770524,0.5421976418756076,E
0.845853744678456,0.02476871860017582,0.39228959324606383,0.7920298606677094,D
0.6599370663335865,0.9183631091526004,0.5688082263769068,0.6848978896134941,H
0.940198954085316,0.6433263908619415,0.20686706000809785,0.2762151814834083,B
0.7754457470785473,0.9431533467927055,0.3933245195200398,0.5450711439198316,H
0.2683090792929952,0.09500482015871448,0.3388404947497181,0.16881105651928496,H
0.10735180858462612,0.3364290606299498,0.4540993103930584,0.9132035124150039,G
0.8773538048946983,0.6431238078892683,0.9974996168106368,0.419815433250429,B
0.711200564053932,0.7355380188432407,0.9714447162091225,0.3082917942529526,B
0.23191949311749704,0.30902907900784027,0.4854667046732206,0.30508688176758525,A
0.1850809097662034,0.18953561038161415,0.627265232943848,0.3589452265107741,D
0.1545961385719088,0.48992583570319215,0.6464042042677567,0.20872683131537095,B
0.7308042293489072,0.8572858354091069,0.6062798110307771,0.4742454664462614,E
0.9362182952233296,0.37868966793372694,0.47508034418974554,0.21620628678098586,H
0.7399989952035123,0.5138128887038903,0.19164546973655372,0.6263297693363531,C
0.8357862650489434,0.6990009349183323,0.9246916741213189,0.1602347373879479,E
0.5063236126639409,0.017874924710315487,0.6836248448712169,0.4881442637129174,F
0.7688648323532544,0.13709973756663574,0.015127483018754995,0.6174625991409438,D
0.1363399733920626,0.3314068265183583,0.025074627428388285,0.6077729040078497,G
0.2865505227344143,0.3100783149191283,0.39090887670057795,0.8866921257940003,H
0.3807433258979144,0.8284874846498419,0.8014006081869652,0.3657476412235009,D
0.3605211649651442,0.4385720948442646,0.8567587511036417,0.6458430906034306,E
0.343174427153473,0.3244846291887167,0.21834426718620392,0.13339887532089045,D
0.7060535180868716,0.9265904978380342,0.03609474990194417,0.45661955164838386,E
0.2191913378846031,0.25546276107246313,0.24827746328614608,0.6392950145413075,C
0.39641061556440016,0.22583840608814043,0.35753595520855586,0.9704002097024552,H
0.9357732012736513,0.06533058518428192,0.035217944070417895,0.47283383032124937,C
0.26133584704009627,0.664314239561304,0.909520705914663,0.008750727137168846,D
0.753308984542698,7.497669963840714e-05,0.5776375425125836,0.17005156936316534,H
0.947485887088418,0.3642933270838735,0.7538956236327061,0.725380071771184,G
0.39031886809648575,0.3325920362217202,0.7161899107374057,0.006694481406644082,F
0.2980847887927328,0.7910091107855032,0.618321608143121,0.549450728020295,C
0.30802675964441184,0.9062544413937071,0.7184688200529008,0.8565346049349297,E
0.9852791552194317,0.1258987409325577,0.4949181846808338,0.9726035922484797,G
0.2855117965817098,0.40335448321116285,0.6680841694515819,0.7040857319373283,E
0.1410444522988712,0.6482927946455792,0.22426125840484756,0.7012529992117363,D
0.33914266854465636,0.8968694251588062,0.5078614760131953,0.35508574618485034,F
0.6872500427901922,0.13099158248710274,0.11049564156124081,0.1547630860483542,F
0.7850791814375402,0.8508905756219638,0.6342448918166519,0.642207790162082,B
0.7771683546465585,0.2814149553523858,0.03407616051729301,0.7904716136542452,H
0.23307224554139505,0.7959308929570705,0.49334284849076127,0.32564731570133676,B
0.27345266924675493,0.09514501086275429,0.001651727251175017,0.16948179299000365,B
0.7311919647593129,0.46498059337617914,0.10149509556563341,0.10247288100845686,A
0.004393130865607997,0.7372076113991732,0.26093421233381386,0.7467080685773869,C
0.8162038908425301,0.9139321516275889,0.5177989103434854,0.42483067092552207,E
0.547745818935074,0.1675792583831237,0.14821082115089423,0.35300523734411615,C
0.661462316029818,0.40511309219323344,0.5759311306127187,0.7892045408551585,B
0.5696161102554791,0.008577425576938302,0.1732433432121564,0.18910072722899185,A
0.22818009127235006,0.9401960871565883,0.6707887366094544,0.3598851086025051,H
0.6622712789756328,0.5900157652810334,0.9048574011665559,0.6978590514391038,D
0.4340564575453534,0.512593596951767,0.2822697484722423,0.9141589523119713,E
0.9410738077257571,0.6671812763665557,0.22998289932027471,0.3822445841556795,E
0.12869550439024646,0.17961906649000803,0.7823162115758905,0.05918063950726038,H
0.27267533183514103,0.9308513149692322,0.7292530354242738,0.20518403971805554,A
0.445193975564244,0.10270176017048249,0.3281785436125082,0.7505467614821747,H
0.11212026198126324,0.20108131897092485,0.4736131714206018,0.015079434291694227,B
0.7242709055156938,0.8047775078278727,0.5710254854171856,0.1081740250810137,G
0.3419240290432446,0.45267344303918333,0.263647910584068,0.23902368684005582,E
0.36395942465258,0.5702986516078994,0.7846741133976602,0.8423296140336778,A
0.3665877003860136,0.9257522160890241,0.13127870048600687,0.1405575476091966,D
0.35282750958744524,0.9069927694407779,0.8130635729264475,0.9019661777430782,B
0.07066587622210052,0.8270959992821418,0.6955485627871328,0.43893641100438996,G
0.5170818826263984,0.23696563867327114,0.28126275508912735,0.5157115272277584,C
0.4236768700670295,0.2881987445929498,0.699218081519881,0.2570769307161581,D
0.4034271935174467,0.9153123410804039,0.37646036493179935,0.47755515525749426,A
0.1628785723632129,0.015014088518470858,0.3355925271439464,0.8903348848307637,G
